#separator:Semicolon
#html:false
#deck column:
#columns:Front;Back
nom;der Name-n
adresse;die Adresse-n
adresse;die Anschrift-en
numéro;die Nummer-n
numéro de téléphone;die Telefonnummer-n
date de naissance;das Geburtsdatum-/en
lieu de naissance;der Geburtsort-e
age;das Alter-
genre/sexe;das Geschlecht-er
statut marital;der Familienstand-″e
relation (personnelle);die Beziehung-en
nationalité;die Staatsangehörigkeit-en
origine;die Herkunft-″e
apparence;das Aussehen
habitude;die Gewohnheit-en
habitation;die Wohnung-en
masse, prise de terre;die Erdung-en
maison;das Haus-″er
maison d'habitation;das Wohnhaus-″er
pièce (d'un bâtiment);das Zimmer-
éclairer;leuchten
mur, partition (de l’intérieur);die Wand-″e
mur (pierre ou ciment);die Mauer-n
équipement;die Einrichtung-en
meuble;das Möbel-
pièce de mobilier;das Möbelstück-e
loyer;die Miete-n
locataire;der Mieter-, die Mieterin-nen
contrat de location;der Mietvertrag-″e
propriétaire;der Eigentümer-, die Eigentümerin-nen
loueur/propriétaire;der Vermieter-, die Vermieterin-nen
propriété (chose qui appartient);das Eigentum-″er
déménagement;der Umzug-″e
déménager;um-ziehen (og-og)
emménager;ein-ziehen (og-og)
animal de companie;das Haustier-e
ménage (famille);der Haushalt-e
escalier;die Treppe-n
marche d'escalier;die Stufe-n
couloir;der Korridor-e
cuisine;die Küche-n
chambre;das Schlafzimmer-
salle de bain;das Badezimmer-
entrée de maison;der Hauseingang-″e
bain;das Bad-″er
vestibule;der Flur-e, die Diele-n
salon;das Wohnzimmer-
toilette (endroit);die Toilette-n
porte;die Tür-en
fenêtre;das Fenster-
jardin;der Garten-″
portail;das Tor-e
garage;die Garage-n
pelouse;der Rasen-
cloture;der Zaun-″e
appareil;das Gerät-e
four;der Ofen-″
four à microondes;die Mikrowelle-n
cuisinière/plaques (meuble);das Herd-e
lit;das Bett-en
linge;die Wäsche-n
coussin, oreillet;das Kissen-
linge de lit;die Bettwäsche-n
réveil (horloge);der Wecker-
couverture;die Decke-n
table;der Tisch-e
table de nuit;der Nachttisch-e
placard;der Schrank-″e
étagères;das Regal-e
tiroir;die Schublade-n
chaise;der Stuhl-″e
miroir;der Spiegel-
tabouret;der Hocker-
frigo;der Kühlschrank-″e
machine à laver;die Waschmaschine-n
aspirateur;der Staubsauger-
évier;die Spüle-n, das Spülbecken-
cafetière;die Kaffeemaschine-n
bibliothèque (meuble);das Bücherregal-e
bureau (meuble);der Schreibtisch-e
congélateur (compartiment & objet);der Gefrierschrank-″e
lampe;die Lampe-n
lumière;das Licht-er
bougie (lumière);die Kerze-n
ampoule (lumière);die Glühbirne-n
cloche, sonnette;die Glocke-n
rideau;der Vorhang-″e
tapis;der Teppich-e
tapis, paillasson;die Matte-n
canapé;das Sofa-s
fauteuil;der Sessel-
lampe de bureau;die Schreibtischlampe-n
radiateur (maison);der Heizkörper-
cadre;der Rahmen-
prise de courant;die Steckdose-n
interrupteur;der Schalter-
interrupteur d'éclairage;der Lichtschalter-
clé;der Schlüssel-
habiter;wohnen
fermer à clé;ab-schließen (o-o)
allumer;an-machen, ein-schalten
éteindre;aus-machen, ab-schalten
sol (parterre);der Boden-″
carrelage;die Fliese-n
moquette;der Teppichboden-″
parquet;das Parkett-e
plafond;die Decke-n
lustre (lumière);der Kronleuchter-
rebord de fenêtre;das Fensterbrett-er
panneau de verre, vitre;die Scheibe-n
vitre;die Fensterscheibe-n
toit;das Dach-″er
tuile;der Dachziegel-
brique;der Ziegel-
grenier;der Dachboden-″
boite aux lettres;der Briefkasten-″
coffre;der Kasten-″
caisse;die Kiste-n
cave;der Keller-
visiter (quelqu’un);besuchen
visite;der Besuch-e
visiteur;der Besucher-, die Besucherin-nen
invitation;die Einladung-en
habitant;der Bewohner-, die Bewohnerin-nen
grenier, dernier étage;das Dachgeschoss-e
rez-de-chaussée;das Erdgeschoss-e
région (environs);die Gegend-en
terrain (immobilier);das Grundstück-e
concierge;der Hausmeister-, die Haustmeisterin-nen
gestion immobilière;die Hausverwaltung-en
loyer sans les charges;die Kaltmiete-n
