#separator:Semicolon
#html:false
#deck column:3
#columns:Front;Back;Deck
nom;der Name-n;identité, informations personnelles
adresse;die Adresse-n;identité, informations personnelles
adresse;die Anschrift-en;identité, informations personnelles
numéro;die Nummer-n;identité, informations personnelles
numéro de téléphone;die Telefonnummer-n;identité, informations personnelles
date de naissance;das Geburtsdatum-/en;identité, informations personnelles
lieu de naissance;der Geburtsort-e;identité, informations personnelles
age;das Alter-;identité, informations personnelles
genre/sexe;das Geschlecht-er;identité, informations personnelles
statut marital;der Familienstand-″e;identité, informations personnelles
relation (personnelle);die Beziehung-en;identité, informations personnelles
nationalité;die Staatsangehörigkeit-en;identité, informations personnelles
origine;die Herkunft-″e;identité, informations personnelles
apparence;das Aussehen;identité, informations personnelles
habitude;die Gewohnheit-en;identité, informations personnelles
habitation;die Wohnung-en;logement
masse, prise de terre;die Erdung-en;logement
maison;das Haus-″er;logement
maison d'habitation;das Wohnhaus-″er;logement
pièce (d'un bâtiment);das Zimmer-;logement
éclairer;leuchten;logement
mur, partition (de l’intérieur);die Wand-″e;logement
mur (pierre ou ciment);die Mauer-n;logement
équipement;die Einrichtung-en;logement
meuble;das Möbel-;logement
pièce de mobilier;das Möbelstück-e;logement
loyer;die Miete-n;logement
locataire;der Mieter-, die Mieterin-nen;logement
contrat de location;der Mietvertrag-″e;logement
propriétaire;der Eigentümer-, die Eigentümerin-nen;logement
loueur/propriétaire;der Vermieter-, die Vermieterin-nen;logement
propriété (chose qui appartient);das Eigentum-″er;logement
déménagement;der Umzug-″e;logement
déménager;um-ziehen (og-og);logement
emménager;ein-ziehen (og-og);logement
animal de companie;das Haustier-e;logement
ménage (famille);der Haushalt-e;logement
escalier;die Treppe-n;logement
marche d'escalier;die Stufe-n;logement
couloir;der Korridor-e;logement
cuisine;die Küche-n;logement
chambre;das Schlafzimmer-;logement
salle de bain;das Badezimmer-;logement
entrée de maison;der Hauseingang-″e;logement
bain;das Bad-″er;logement
vestibule;der Flur-e, die Diele-n;logement
salon;das Wohnzimmer-;logement
toilette (endroit);die Toilette-n;logement
porte;die Tür-en;logement
fenêtre;das Fenster-;logement
jardin;der Garten-″;logement
portail;das Tor-e;logement
garage;die Garage-n;logement
pelouse;der Rasen-;logement
cloture;der Zaun-″e;logement
appareil;das Gerät-e;logement
four;der Ofen-″;logement
four à microondes;die Mikrowelle-n;logement
cuisinière/plaques (meuble);das Herd-e;logement
lit;das Bett-en;logement
linge;die Wäsche-n;logement
coussin, oreillet;das Kissen-;logement
linge de lit;die Bettwäsche-n;logement
réveil (horloge);der Wecker-;logement
couverture;die Decke-n;logement
table;der Tisch-e;logement
table de nuit;der Nachttisch-e;logement
placard;der Schrank-″e;logement
étagères;das Regal-e;logement
tiroir;die Schublade-n;logement
chaise;der Stuhl-″e;logement
miroir;der Spiegel-;logement
tabouret;der Hocker-;logement
frigo;der Kühlschrank-″e;logement
machine à laver;die Waschmaschine-n;logement
aspirateur;der Staubsauger-;logement
évier;die Spüle-n, das Spülbecken-;logement
cafetière;die Kaffeemaschine-n;logement
bibliothèque (meuble);das Bücherregal-e;logement
bureau (meuble);der Schreibtisch-e;logement
congélateur (compartiment & objet);der Gefrierschrank-″e;logement
lampe;die Lampe-n;logement
lumière;das Licht-er;logement
bougie (lumière);die Kerze-n;logement
ampoule (lumière);die Glühbirne-n;logement
cloche, sonnette;die Glocke-n;logement
rideau;der Vorhang-″e;logement
tapis;der Teppich-e;logement
tapis, paillasson;die Matte-n;logement
canapé;das Sofa-s;logement
fauteuil;der Sessel-;logement
lampe de bureau;die Schreibtischlampe-n;logement
radiateur (maison);der Heizkörper-;logement
cadre;der Rahmen-;logement
prise de courant;die Steckdose-n;logement
interrupteur;der Schalter-;logement
interrupteur d'éclairage;der Lichtschalter-;logement
clé;der Schlüssel-;logement
habiter;wohnen;logement
fermer à clé;ab-schließen (o-o);logement
allumer;an-machen, ein-schalten;logement
éteindre;aus-machen, ab-schalten;logement
sol (parterre);der Boden-″;logement
carrelage;die Fliese-n;logement
moquette;der Teppichboden-″;logement
parquet;das Parkett-e;logement
plafond;die Decke-n;logement
lustre (lumière);der Kronleuchter-;logement
